participant_id,itemid,itemtype,answer,correct,answer_which,message,target,competitor,distractor,presentation_order,answer_order,trialid,item_fewer_cats,targetpos,study
2,15,target complex,gm_bh,0,competitor,gm,gm_rh,gm_bh,ro_rh,"ro_rh, gm_bh, gm_rh",2,64,target complex,3,pilot
2,16,filler type c,gm_bh,1,target,bh,gm_bh,gm_rh,ro_rh,"gm_rh, gm_bh, ro_rh",2,34,filler unambiguous,2,pilot
2,17,target complex,pm_bh,1,target,pm,pm_bh,pm_rh,ro_bh,"pm_rh, pm_bh, ro_bh",2,25,target complex,2,pilot
2,18,target simple,ro_bh,1,target,bh,ro_bh,pm_bh,gm_rh,"gm_rh, ro_bh, pm_bh",2,37,target simple,2,pilot
2,19,filler unambiguous,ro_bh,1,target,bh,ro_bh,gm_sc,pm_rh,"pm_rh, ro_bh, gm_sc",2,29,filler unambiguous,2,pilot
2,20,filler unambiguous,pm_bh,1,target,bh,pm_bh,ro_sc,gm_rh,"ro_sc, gm_rh, pm_bh",3,4,filler unambiguous,3,pilot
2,21,filler type c,gm_bh,1,target,gm,gm_bh,pm_bh,pm_sc,"gm_bh, pm_sc, pm_bh",1,44,filler unambiguous,1,pilot
2,22,filler type c,pm_rh,1,target,rh,pm_rh,pm_bh,ro_bh,"ro_bh, pm_rh, pm_bh",2,19,filler unambiguous,2,pilot
2,23,filler unambiguous,pm_rh,1,target,pm,pm_rh,gm_bh,ro_sc,"gm_bh, ro_sc, pm_rh",3,18,filler unambiguous,3,pilot
2,24,target complex,gm_bh,0,competitor,bh,pm_bh,gm_bh,pm_sc,"pm_sc, gm_bh, pm_bh",2,49,target complex,3,pilot
2,25,target complex,pm_rh,0,competitor,pm,pm_bh,pm_rh,ro_bh,"ro_bh, pm_bh, pm_rh",3,6,target complex,2,pilot
2,26,target simple,ro_rh,1,target,rh,ro_rh,gm_rh,pm_bh,"pm_bh, gm_rh, ro_rh",3,48,target simple,3,pilot
2,27,target simple,gm_rh,0,competitor,rh,ro_rh,gm_rh,pm_bh,"pm_bh, gm_rh, ro_rh",2,8,target simple,3,pilot
2,28,target simple,pm_sc,1,target,pm,pm_sc,pm_bh,gm_rh,"pm_sc, gm_rh, pm_bh",1,12,target simple,1,pilot
2,29,filler type a,pm_bh,1,target,bh,pm_bh,pm_sc,gm_rh,"pm_bh, gm_rh, pm_sc",1,47,filler unambiguous,1,pilot
2,30,target simple,pm_sc,1,target,pm,pm_sc,pm_bh,gm_rh,"gm_rh, pm_bh, pm_sc",3,23,target simple,3,pilot
2,31,filler ambiguous,pm_rh,0,competitor,pm,pm_rh,pm_rh,gm_bh,"pm_rh, pm_rh, gm_bh",2,10,filler ambiguous,1,pilot
2,32,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"pm_rh, ro_rh, pm_bh",3,24,filler unambiguous,3,pilot
2,33,target simple,gm_sc,1,target,gm,gm_sc,gm_bh,pm_rh,"gm_sc, pm_rh, gm_bh",1,20,target simple,1,pilot
2,34,filler type b,pm_bh,1,target,bh,pm_bh,gm_rh,ro_rh,"pm_bh, gm_rh, ro_rh",1,65,filler unambiguous,1,pilot
2,35,filler ambiguous,gm_bh,0,competitor,bh,gm_bh,gm_bh,pm_rh,"pm_rh, gm_bh, gm_bh",2,36,filler ambiguous,3,pilot
2,36,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"pm_rh, pm_sc, gm_bh",2,54,target simple,2,pilot
2,37,filler unambiguous,gm_rh,1,target,rh,gm_rh,pm_sc,ro_bh,"gm_rh, pm_sc, ro_bh",1,52,filler unambiguous,1,pilot
2,38,filler type b,pm_rh,1,target,rh,pm_rh,ro_bh,gm_bh,"ro_bh, pm_rh, gm_bh",2,28,filler unambiguous,2,pilot
2,39,filler ambiguous,pm_rh,0,competitor,rh,pm_rh,pm_rh,gm_bh,"pm_rh, gm_bh, pm_rh",3,7,filler ambiguous,1,pilot
2,40,target simple,gm_bh,0,competitor,bh,ro_bh,gm_bh,pm_rh,"pm_rh, gm_bh, ro_bh",2,50,target simple,3,pilot
2,41,filler type a,gm_bh,1,target,gm,gm_bh,ro_bh,pm_rh,"gm_bh, ro_bh, pm_rh",1,0,filler unambiguous,1,pilot
2,42,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"pm_sc, pm_rh, gm_bh",1,35,target simple,1,pilot
2,43,target complex,pm_rh,1,target,pm,pm_rh,pm_bh,ro_rh,"pm_bh, pm_rh, ro_rh",2,61,target complex,2,pilot
2,44,filler type b,gm_bh,1,target,gm,gm_bh,pm_rh,pm_sc,"pm_sc, gm_bh, pm_rh",2,22,filler unambiguous,2,pilot
2,45,filler type b,pm_rh,1,target,pm,pm_rh,gm_bh,gm_sc,"gm_sc, gm_bh, pm_rh",3,26,filler unambiguous,3,pilot
2,46,filler unambiguous,ro_bh,1,target,bh,ro_bh,pm_sc,gm_rh,"pm_sc, gm_rh, ro_bh",3,38,filler unambiguous,3,pilot
2,47,filler type a,pm_rh,1,target,rh,pm_rh,pm_sc,gm_bh,"pm_rh, gm_bh, pm_sc",1,15,filler unambiguous,1,pilot
2,48,filler unambiguous,pm_rh,1,target,pm,pm_rh,ro_sc,gm_bh,"ro_sc, pm_rh, gm_bh",2,39,filler unambiguous,2,pilot
2,49,target complex,gm_bh,0,competitor,gm,gm_rh,gm_bh,ro_rh,"gm_rh, gm_bh, ro_rh",2,33,target complex,1,pilot
2,50,filler ambiguous,gm_bh,0,competitor,gm,gm_bh,gm_bh,pm_sc,"gm_bh, gm_bh, pm_sc",2,31,filler ambiguous,1,pilot
2,51,target complex,pm_bh,1,target,pm,pm_bh,pm_rh,ro_rh,"pm_rh, pm_bh, ro_rh",2,63,target complex,2,pilot
2,52,filler ambiguous,pm_rh,1,target,rh,pm_rh,pm_rh,gm_sc,"pm_rh, gm_sc, pm_rh",1,62,filler ambiguous,1,pilot
2,53,filler ambiguous,pm_rh,0,competitor,pm,pm_rh,pm_rh,gm_sc,"pm_rh, gm_sc, pm_rh",1,17,filler ambiguous,3,pilot
2,54,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"pm_bh, pm_rh, ro_rh",1,3,filler unambiguous,1,pilot
2,55,filler type c,gm_rh,1,target,rh,gm_rh,gm_bh,ro_bh,"ro_bh, gm_bh, gm_rh",3,14,filler unambiguous,3,pilot
2,56,filler type b,gm_rh,1,target,gm,gm_rh,ro_bh,pm_bh,"gm_rh, ro_bh, pm_bh",1,42,filler unambiguous,1,pilot
2,57,target complex,pm_bh,0,competitor,pm,pm_rh,pm_bh,ro_rh,"ro_rh, pm_bh, pm_rh",2,30,target complex,3,pilot
2,58,filler ambiguous,pm_rh,1,target,rh,pm_rh,pm_rh,gm_sc,"pm_rh, pm_rh, gm_sc",2,32,filler ambiguous,2,pilot
2,59,target simple,pm_bh,0,competitor,pm,pm_sc,pm_bh,gm_rh,"pm_sc, gm_rh, pm_bh",3,56,target simple,1,pilot
2,60,filler type c,gm_bh,1,target,gm,gm_bh,pm_bh,pm_sc,"pm_bh, pm_sc, gm_bh",3,1,filler unambiguous,3,pilot
2,61,filler type c,pm_rh,1,target,pm,pm_rh,gm_rh,gm_sc,"pm_rh, gm_sc, gm_rh",1,53,filler unambiguous,1,pilot
2,62,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"ro_rh, pm_bh, pm_rh",2,46,filler unambiguous,2,pilot
2,63,target complex,gm_rh,0,competitor,gm,gm_bh,gm_rh,ro_bh,"gm_rh, ro_bh, gm_bh",1,43,target complex,3,pilot
2,64,filler type a,gm_rh,1,target,gm,gm_rh,ro_rh,pm_bh,"gm_rh, pm_bh, ro_rh",1,57,filler unambiguous,1,pilot
2,65,filler type c,gm_bh,1,target,bh,gm_bh,gm_rh,ro_rh,"gm_bh, ro_rh, gm_rh",1,21,filler unambiguous,1,pilot
2,66,filler unambiguous,gm_bh,1,target,gm,gm_bh,ro_sc,pm_rh,"gm_bh, pm_rh, ro_sc",1,27,filler unambiguous,1,pilot
3,1,filler type b,gm_rh,1,target,rh,gm_rh,pm_sc,pm_bh,"pm_sc, gm_rh, pm_bh",2,1,filler unambiguous,2,pilot
3,2,target complex,gm_sc,0,distractor,rh,gm_rh,pm_rh,gm_sc,"gm_sc, gm_rh, pm_rh",1,21,target complex,2,pilot
3,3,filler ambiguous,gm_bh,0,distractor,rh,pm_rh,pm_rh,gm_bh,"gm_bh, pm_rh, pm_rh",1,45,filler ambiguous,2,pilot
3,4,filler type a,pm_rh,1,target,rh,pm_rh,pm_sc,gm_bh,"gm_bh, pm_sc, pm_rh",3,50,filler unambiguous,3,pilot
3,5,target complex,pm_bh,1,target,bh,pm_bh,gm_bh,pm_sc,"pm_sc, gm_bh, pm_bh",3,2,target complex,3,pilot
3,6,filler unambiguous,pm_rh,1,target,rh,pm_rh,gm_sc,ro_bh,"gm_sc, ro_bh, pm_rh",3,48,filler unambiguous,3,pilot
3,7,target complex,ro_bh,0,distractor,gm,gm_bh,gm_rh,ro_bh,"gm_rh, ro_bh, gm_bh",2,36,target complex,3,pilot
3,8,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"gm_bh, pm_rh, pm_sc",3,46,target simple,3,pilot
3,9,filler ambiguous,pm_sc,0,competitor,gm,gm_bh,gm_bh,pm_sc,"gm_bh, pm_sc, gm_bh",2,0,filler ambiguous,1,pilot
3,10,filler type c,pm_rh,1,target,rh,pm_rh,pm_bh,ro_bh,"pm_rh, pm_bh, ro_bh",1,32,filler unambiguous,1,pilot
3,11,filler type c,gm_rh,1,target,rh,gm_rh,gm_bh,ro_bh,"gm_bh, ro_bh, gm_rh",3,11,filler unambiguous,3,pilot
3,12,target simple,ro_bh,1,target,bh,ro_bh,gm_bh,pm_rh,"gm_bh, pm_rh, ro_bh",3,7,target simple,3,pilot
3,13,filler type a,pm_bh,1,target,bh,pm_bh,pm_sc,gm_rh,"pm_bh, gm_rh, pm_sc",1,54,filler unambiguous,1,pilot
3,14,filler unambiguous,gm_rh,1,target,rh,gm_rh,pm_bh,ro_sc,"ro_sc, pm_bh, gm_rh",3,65,filler unambiguous,3,pilot
3,15,target complex,ro_rh,0,distractor,gm,gm_rh,gm_bh,ro_rh,"ro_rh, gm_bh, gm_rh",1,39,target complex,3,pilot
3,16,filler type c,gm_bh,1,target,bh,gm_bh,gm_rh,ro_rh,"gm_rh, gm_bh, ro_rh",2,31,filler unambiguous,2,pilot
3,17,target complex,ro_bh,0,distractor,pm,pm_bh,pm_rh,ro_bh,"ro_bh, pm_bh, pm_rh",1,22,target complex,2,pilot
3,18,target simple,gm_rh,0,distractor,bh,ro_bh,pm_bh,gm_rh,"ro_bh, gm_rh, pm_bh",2,20,target simple,1,pilot
3,19,filler unambiguous,ro_bh,1,target,bh,ro_bh,gm_sc,pm_rh,"gm_sc, pm_rh, ro_bh",3,52,filler unambiguous,3,pilot
3,20,filler unambiguous,pm_bh,1,target,bh,pm_bh,ro_sc,gm_rh,"ro_sc, pm_bh, gm_rh",2,14,filler unambiguous,2,pilot
3,21,filler type c,gm_bh,1,target,gm,gm_bh,pm_bh,pm_sc,"gm_bh, pm_sc, pm_bh",1,16,filler unambiguous,1,pilot
3,22,filler type c,pm_rh,1,target,rh,pm_rh,pm_bh,ro_bh,"ro_bh, pm_bh, pm_rh",3,10,filler unambiguous,3,pilot
3,23,filler unambiguous,pm_rh,1,target,pm,pm_rh,gm_bh,ro_sc,"gm_bh, pm_rh, ro_sc",2,64,filler unambiguous,2,pilot
3,24,target complex,pm_sc,0,distractor,bh,pm_bh,gm_bh,pm_sc,"pm_bh, pm_sc, gm_bh",2,58,target complex,1,pilot
3,25,target complex,ro_bh,0,distractor,pm,pm_bh,pm_rh,ro_bh,"pm_bh, ro_bh, pm_rh",2,25,target complex,1,pilot
3,26,target simple,ro_rh,1,target,rh,ro_rh,gm_rh,pm_bh,"gm_rh, pm_bh, ro_rh",3,5,target simple,3,pilot
3,27,target simple,ro_rh,1,target,rh,ro_rh,gm_rh,pm_bh,"pm_bh, gm_rh, ro_rh",3,3,target simple,3,pilot
3,28,target simple,pm_sc,1,target,pm,pm_sc,pm_bh,gm_rh,"pm_sc, pm_bh, gm_rh",1,30,target simple,1,pilot
3,29,filler type a,pm_bh,1,target,bh,pm_bh,pm_sc,gm_rh,"pm_bh, gm_rh, pm_sc",1,55,filler unambiguous,1,pilot
3,30,target simple,pm_sc,1,target,pm,pm_sc,pm_bh,gm_rh,"pm_sc, pm_bh, gm_rh",1,43,target simple,1,pilot
3,31,filler ambiguous,pm_rh,1,target,pm,pm_rh,pm_rh,gm_bh,"gm_bh, pm_rh, pm_rh",2,6,filler ambiguous,2,pilot
3,32,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"pm_rh, pm_bh, ro_rh",2,44,filler unambiguous,2,pilot
3,33,target simple,pm_rh,0,distractor,gm,gm_sc,gm_bh,pm_rh,"gm_sc, pm_rh, gm_bh",2,8,target simple,1,pilot
3,34,filler type b,pm_bh,1,target,bh,pm_bh,gm_rh,ro_rh,"pm_bh, gm_rh, ro_rh",1,59,filler unambiguous,1,pilot
3,35,filler ambiguous,pm_rh,0,competitor,bh,gm_bh,gm_bh,pm_rh,"gm_bh, pm_rh, gm_bh",2,38,filler ambiguous,1,pilot
3,36,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"gm_bh, pm_rh, pm_sc",3,42,target simple,3,pilot
3,37,filler unambiguous,gm_rh,1,target,rh,gm_rh,pm_sc,ro_bh,"pm_sc, ro_bh, gm_rh",3,40,filler unambiguous,3,pilot
3,38,filler type b,pm_rh,1,target,rh,pm_rh,ro_bh,gm_bh,"gm_bh, pm_rh, ro_bh",2,34,filler unambiguous,2,pilot
3,39,filler ambiguous,gm_bh,0,competitor,rh,pm_rh,pm_rh,gm_bh,"gm_bh, pm_rh, pm_rh",1,17,filler ambiguous,2,pilot
3,40,target simple,pm_rh,0,distractor,bh,ro_bh,gm_bh,pm_rh,"pm_rh, ro_bh, gm_bh",1,37,target simple,2,pilot
3,41,filler type a,gm_bh,1,target,gm,gm_bh,ro_bh,pm_rh,"gm_bh, pm_rh, ro_bh",1,28,filler unambiguous,1,pilot
3,42,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"pm_rh, gm_bh, pm_sc",3,63,target simple,3,pilot
3,43,target complex,ro_rh,0,distractor,pm,pm_rh,pm_bh,ro_rh,"pm_rh, pm_bh, ro_rh",3,47,target complex,1,pilot
3,44,filler type b,gm_bh,1,target,gm,gm_bh,pm_rh,pm_sc,"pm_sc, gm_bh, pm_rh",2,27,filler unambiguous,2,pilot
3,45,filler type b,pm_rh,1,target,pm,pm_rh,gm_bh,gm_sc,"gm_sc, gm_bh, pm_rh",3,23,filler unambiguous,3,pilot
3,46,filler unambiguous,ro_bh,1,target,bh,ro_bh,pm_sc,gm_rh,"ro_bh, gm_rh, pm_sc",1,19,filler unambiguous,1,pilot
3,47,filler type a,pm_rh,1,target,rh,pm_rh,pm_sc,gm_bh,"pm_sc, gm_bh, pm_rh",3,26,filler unambiguous,3,pilot
3,48,filler unambiguous,pm_rh,1,target,pm,pm_rh,ro_sc,gm_bh,"ro_sc, pm_rh, gm_bh",2,12,filler unambiguous,2,pilot
3,49,target complex,ro_rh,0,distractor,gm,gm_rh,gm_bh,ro_rh,"gm_bh, ro_rh, gm_rh",2,15,target complex,3,pilot
3,50,filler ambiguous,pm_sc,0,distractor,gm,gm_bh,gm_bh,pm_sc,"gm_bh, pm_sc, gm_bh",2,29,filler ambiguous,1,pilot
3,51,target complex,ro_rh,0,distractor,pm,pm_bh,pm_rh,ro_rh,"pm_bh, pm_rh, ro_rh",3,13,target complex,1,pilot
3,52,filler ambiguous,gm_sc,0,distractor,rh,pm_rh,pm_rh,gm_sc,"pm_rh, gm_sc, pm_rh",2,56,filler ambiguous,1,pilot
3,53,filler ambiguous,pm_rh,1,target,pm,pm_rh,pm_rh,gm_sc,"gm_sc, pm_rh, pm_rh",2,4,filler ambiguous,2,pilot
3,54,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"pm_bh, pm_rh, ro_rh",1,62,filler unambiguous,1,pilot
3,55,filler type c,gm_rh,1,target,rh,gm_rh,gm_bh,ro_bh,"gm_bh, gm_rh, ro_bh",2,53,filler unambiguous,2,pilot
3,56,filler type b,gm_rh,1,target,gm,gm_rh,ro_bh,pm_bh,"pm_bh, ro_bh, gm_rh",3,33,filler unambiguous,3,pilot
3,57,target complex,pm_bh,0,competitor,pm,pm_rh,pm_bh,ro_rh,"pm_rh, ro_rh, pm_bh",3,49,target complex,1,pilot
3,58,filler ambiguous,gm_sc,0,distractor,rh,pm_rh,pm_rh,gm_sc,"gm_sc, pm_rh, pm_rh",1,61,filler ambiguous,2,pilot
3,59,target simple,pm_sc,1,target,pm,pm_sc,pm_bh,gm_rh,"pm_sc, gm_rh, pm_bh",1,18,target simple,1,pilot
3,60,filler type c,gm_bh,1,target,gm,gm_bh,pm_bh,pm_sc,"pm_sc, gm_bh, pm_bh",2,35,filler unambiguous,2,pilot
3,61,filler type c,pm_rh,1,target,pm,pm_rh,gm_rh,gm_sc,"gm_rh, pm_rh, gm_sc",2,24,filler unambiguous,2,pilot
3,62,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"ro_rh, pm_rh, pm_bh",3,57,filler unambiguous,3,pilot
3,63,target complex,ro_bh,0,distractor,gm,gm_bh,gm_rh,ro_bh,"ro_bh, gm_rh, gm_bh",1,51,target complex,3,pilot
3,64,filler type a,gm_rh,1,target,gm,gm_rh,ro_rh,pm_bh,"pm_bh, gm_rh, ro_rh",2,41,filler unambiguous,2,pilot
3,65,filler type c,gm_bh,1,target,bh,gm_bh,gm_rh,ro_rh,"ro_rh, gm_bh, gm_rh",2,60,filler unambiguous,2,pilot
3,66,filler unambiguous,gm_bh,1,target,gm,gm_bh,ro_sc,pm_rh,"pm_rh, gm_bh, ro_sc",2,9,filler unambiguous,2,pilot
9,1,filler type b,gm_rh,1,target,rh,gm_rh,pm_sc,pm_bh,"pm_sc, pm_bh, gm_rh",3,34,filler unambiguous,3,pilot
9,2,target complex,pm_rh,0,competitor,rh,gm_rh,pm_rh,gm_sc,"gm_sc, pm_rh, gm_rh",2,4,target complex,3,pilot
9,3,filler ambiguous,pm_rh,0,competitor,rh,pm_rh,pm_rh,gm_bh,"pm_rh, pm_rh, gm_bh",2,16,filler ambiguous,1,pilot
9,4,filler type a,pm_rh,1,target,rh,pm_rh,pm_sc,gm_bh,"pm_sc, gm_bh, pm_rh",3,64,filler unambiguous,3,pilot
9,5,target complex,pm_bh,1,target,bh,pm_bh,gm_bh,pm_sc,"pm_sc, gm_bh, pm_bh",3,10,target complex,3,pilot
9,6,filler unambiguous,pm_rh,1,target,rh,pm_rh,gm_sc,ro_bh,"ro_bh, gm_sc, pm_rh",3,45,filler unambiguous,3,pilot
9,7,target complex,gm_rh,0,competitor,gm,gm_bh,gm_rh,ro_bh,"gm_rh, ro_bh, gm_bh",1,40,target complex,3,pilot
9,8,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"gm_bh, pm_rh, pm_sc",3,57,target simple,3,pilot
9,9,filler ambiguous,gm_bh,0,competitor,gm,gm_bh,gm_bh,pm_sc,"gm_bh, gm_bh, pm_sc",1,36,filler ambiguous,2,pilot
9,10,filler type c,pm_rh,1,target,rh,pm_rh,pm_bh,ro_bh,"ro_bh, pm_bh, pm_rh",3,25,filler unambiguous,3,pilot
9,11,filler type c,gm_rh,1,target,rh,gm_rh,gm_bh,ro_bh,"ro_bh, gm_rh, gm_bh",2,7,filler unambiguous,2,pilot
9,12,target simple,ro_bh,1,target,bh,ro_bh,gm_bh,pm_rh,"pm_rh, gm_bh, ro_bh",3,6,target simple,3,pilot
9,13,filler type a,pm_bh,1,target,bh,pm_bh,pm_sc,gm_rh,"gm_rh, pm_sc, pm_bh",3,52,filler unambiguous,3,pilot
9,14,filler unambiguous,gm_rh,1,target,rh,gm_rh,pm_bh,ro_sc,"gm_rh, pm_bh, ro_sc",1,21,filler unambiguous,1,pilot
9,15,target complex,gm_rh,1,target,gm,gm_rh,gm_bh,ro_rh,"gm_rh, ro_rh, gm_bh",1,53,target complex,1,pilot
9,16,filler type c,gm_bh,1,target,bh,gm_bh,gm_rh,ro_rh,"gm_bh, ro_rh, gm_rh",1,42,filler unambiguous,1,pilot
9,17,target complex,pm_bh,1,target,pm,pm_bh,pm_rh,ro_bh,"ro_bh, pm_bh, pm_rh",2,20,target complex,2,pilot
9,18,target simple,ro_bh,1,target,bh,ro_bh,pm_bh,gm_rh,"gm_rh, pm_bh, ro_bh",3,8,target simple,3,pilot
9,19,filler unambiguous,ro_bh,1,target,bh,ro_bh,gm_sc,pm_rh,"ro_bh, gm_sc, pm_rh",1,15,filler unambiguous,1,pilot
9,20,filler unambiguous,pm_bh,1,target,bh,pm_bh,ro_sc,gm_rh,"gm_rh, ro_sc, pm_bh",3,19,filler unambiguous,3,pilot
9,21,filler type c,gm_bh,1,target,gm,gm_bh,pm_bh,pm_sc,"pm_sc, gm_bh, pm_bh",2,32,filler unambiguous,2,pilot
9,22,filler type c,pm_rh,1,target,rh,pm_rh,pm_bh,ro_bh,"pm_rh, pm_bh, ro_bh",1,65,filler unambiguous,1,pilot
9,23,filler unambiguous,pm_rh,1,target,pm,pm_rh,gm_bh,ro_sc,"gm_bh, pm_rh, ro_sc",2,38,filler unambiguous,2,pilot
9,24,target complex,pm_bh,1,target,bh,pm_bh,gm_bh,pm_sc,"gm_bh, pm_sc, pm_bh",3,55,target complex,3,pilot
9,25,target complex,pm_bh,1,target,pm,pm_bh,pm_rh,ro_bh,"pm_bh, pm_rh, ro_bh",1,59,target complex,1,pilot
9,26,target simple,ro_rh,1,target,rh,ro_rh,gm_rh,pm_bh,"pm_bh, gm_rh, ro_rh",3,3,target simple,3,pilot
9,27,target simple,ro_rh,1,target,rh,ro_rh,gm_rh,pm_bh,"ro_rh, pm_bh, gm_rh",1,47,target simple,1,pilot
9,28,target simple,pm_sc,1,target,pm,pm_sc,pm_bh,gm_rh,"pm_sc, pm_bh, gm_rh",1,54,target simple,1,pilot
9,29,filler type a,pm_bh,1,target,bh,pm_bh,pm_sc,gm_rh,"pm_sc, gm_rh, pm_bh",3,13,filler unambiguous,3,pilot
9,30,target simple,pm_bh,0,competitor,pm,pm_sc,pm_bh,gm_rh,"gm_rh, pm_bh, pm_sc",2,17,target simple,3,pilot
9,31,filler ambiguous,pm_rh,1,target,pm,pm_rh,pm_rh,gm_bh,"pm_rh, pm_rh, gm_bh",1,61,filler ambiguous,1,pilot
9,32,filler type c,pm_bh,1,target,bh,pm_bh,pm_rh,ro_rh,"pm_bh, ro_rh, pm_rh",1,28,filler unambiguous,1,pilot
9,33,target simple,gm_sc,1,target,gm,gm_sc,gm_bh,pm_rh,"pm_rh, gm_sc, gm_bh",2,48,target simple,2,pilot
9,34,filler type b,pm_bh,1,target,bh,pm_bh,gm_rh,ro_rh,"gm_rh, ro_rh, pm_bh",3,51,filler unambiguous,3,pilot
9,35,filler ambiguous,gm_bh,1,target,bh,gm_bh,gm_bh,pm_rh,"gm_bh, gm_bh, pm_rh",1,12,filler ambiguous,1,pilot
9,36,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"gm_bh, pm_rh, pm_sc",3,27,target simple,3,pilot
9,37,filler unambiguous,gm_rh,1,target,rh,gm_rh,pm_sc,ro_bh,"gm_rh, pm_sc, ro_bh",1,62,filler unambiguous,1,pilot
9,38,filler type b,pm_rh,1,target,rh,pm_rh,ro_bh,gm_bh,"pm_rh, gm_bh, ro_bh",1,26,filler unambiguous,1,pilot
9,39,filler ambiguous,pm_rh,0,competitor,rh,pm_rh,pm_rh,gm_bh,"pm_rh, pm_rh, gm_bh",1,46,filler ambiguous,2,pilot
9,40,target simple,ro_bh,1,target,bh,ro_bh,gm_bh,pm_rh,"pm_rh, gm_bh, ro_bh",3,2,target simple,3,pilot
9,41,filler type a,gm_bh,1,target,gm,gm_bh,ro_bh,pm_rh,"gm_bh, pm_rh, ro_bh",1,24,filler unambiguous,1,pilot
9,42,target simple,pm_rh,0,competitor,pm,pm_sc,pm_rh,gm_bh,"pm_rh, pm_sc, gm_bh",1,18,target simple,2,pilot
9,43,target complex,pm_rh,1,target,pm,pm_rh,pm_bh,ro_rh,"ro_rh, pm_bh, pm_rh",3,39,target complex,3,pilot
9,44,filler type b,gm_bh,1,target,gm,gm_bh,pm_rh,pm_sc,"pm_sc, pm_rh, gm_bh",3,63,filler unambiguous,3,pilot
9,45,filler type b,pm_rh,1,target,pm,pm_rh,gm_bh,gm_sc,"gm_bh, pm_rh, gm_sc",2,43,filler unambiguous,2,pilot
9,46,filler unambiguous,ro_bh,1,target,bh,ro_bh,pm_sc,gm_rh,"ro_bh, gm_rh, pm_sc",1,50,filler unambiguous,1,pilot
9,47,filler type a,pm_rh,1,target,rh,pm_rh,pm_sc,gm_bh,"pm_rh, pm_sc, gm_bh",1,0,filler unambiguous,1,pilot
9,48,filler unambiguous,pm_rh,1,target,pm,pm_rh,ro_sc,gm_bh,"gm_bh, pm_rh, ro_sc",2,41,filler unambiguous,2,pilot
9,49,target complex,gm_rh,1,target,gm,gm_rh,gm_bh,ro_rh,"gm_bh, ro_rh, gm_rh",3,37,target complex,3,pilot
